image_path,cluster_label
D:/GeoGuessrGuessr/geoguesst\-0.0746485_34.7382532_Index__Index_5.png,6
D:/GeoGuessrGuessr/geoguesst\-0.0746485_34.7382532_Index__Index_6.png,6
D:/GeoGuessrGuessr/geoguesst\-0.0746485_34.7382532_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.0746485_34.7382532_Index__Index_8.png,5
D:/GeoGuessrGuessr/geoguesst\-0.10484975826845133_34.95579205553682_Index__Index_1.png,9
D:/GeoGuessrGuessr/geoguesst\-0.10484975826845133_34.95579205553682_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.10484975826845133_34.95579205553682_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.10484975826845133_34.95579205553682_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.10484975826845133_34.95579205553682_Index__Index_5.png,0
D:/GeoGuessrGuessr/geoguesst\-0.10484975826845133_34.95579205553682_Index__Index_6.png,8
D:/GeoGuessrGuessr/geoguesst\-0.10484975826845133_34.95579205553682_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.10484975826845133_34.95579205553682_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1447342_34.5150699_Index__Index_1.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1447342_34.5150699_Index__Index_2.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1447342_34.5150699_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1447342_34.5150699_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1447342_34.5150699_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1447342_34.5150699_Index__Index_6.png,4
D:/GeoGuessrGuessr/geoguesst\-0.1447342_34.5150699_Index__Index_7.png,4
D:/GeoGuessrGuessr/geoguesst\-0.1447342_34.5150699_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1529796_29.9167746_Index__Index_2.png,9
D:/GeoGuessrGuessr/geoguesst\-0.1529796_29.9167746_Index__Index_3.png,9
D:/GeoGuessrGuessr/geoguesst\-0.1529796_29.9167746_Index__Index_4.png,9
D:/GeoGuessrGuessr/geoguesst\-0.1529796_29.9167746_Index__Index_5.png,9
D:/GeoGuessrGuessr/geoguesst\-0.1529796_29.9167746_Index__Index_6.png,9
D:/GeoGuessrGuessr/geoguesst\-0.1529796_29.9167746_Index__Index_7.png,9
D:/GeoGuessrGuessr/geoguesst\-0.1669351_37.0237099_Index__Index_2.png,1
D:/GeoGuessrGuessr/geoguesst\-0.1669351_37.0237099_Index__Index_3.png,1
D:/GeoGuessrGuessr/geoguesst\-0.1669351_37.0237099_Index__Index_4.png,1
D:/GeoGuessrGuessr/geoguesst\-0.1669351_37.0237099_Index__Index_5.png,1
D:/GeoGuessrGuessr/geoguesst\-0.1669351_37.0237099_Index__Index_6.png,9
D:/GeoGuessrGuessr/geoguesst\-0.1669351_37.0237099_Index__Index_7.png,8
D:/GeoGuessrGuessr/geoguesst\-0.1694456_36.252328_Index__Index_1.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1694456_36.252328_Index__Index_2.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1694456_36.252328_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1694456_36.252328_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1694456_36.252328_Index__Index_5.png,1
D:/GeoGuessrGuessr/geoguesst\-0.1694456_36.252328_Index__Index_6.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1694456_36.252328_Index__Index_7.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1694456_36.252328_Index__Index_8.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1703939_36.1240769_Index__Index_2.png,2
D:/GeoGuessrGuessr/geoguesst\-0.1703939_36.1240769_Index__Index_3.png,2
D:/GeoGuessrGuessr/geoguesst\-0.1703939_36.1240769_Index__Index_4.png,8
D:/GeoGuessrGuessr/geoguesst\-0.1703939_36.1240769_Index__Index_5.png,8
D:/GeoGuessrGuessr/geoguesst\-0.1703939_36.1240769_Index__Index_6.png,8
D:/GeoGuessrGuessr/geoguesst\-0.1703939_36.1240769_Index__Index_7.png,2
D:/GeoGuessrGuessr/geoguesst\-0.1795736_35.1012567_Index__Index_1.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1795736_35.1012567_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1795736_35.1012567_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1795736_35.1012567_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1795736_35.1012567_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1795736_35.1012567_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1795736_35.1012567_Index__Index_7.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1795736_35.1012567_Index__Index_8.png,5
D:/GeoGuessrGuessr/geoguesst\-0.1965908_39.618507_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1965908_39.618507_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1965908_39.618507_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1965908_39.618507_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1965908_39.618507_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1965908_39.618507_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1965908_39.618507_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.1965908_39.618507_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.2369726_37.0145992_Index__Index_2.png,1
D:/GeoGuessrGuessr/geoguesst\-0.2369726_37.0145992_Index__Index_3.png,9
D:/GeoGuessrGuessr/geoguesst\-0.2369726_37.0145992_Index__Index_4.png,1
D:/GeoGuessrGuessr/geoguesst\-0.2369726_37.0145992_Index__Index_5.png,1
D:/GeoGuessrGuessr/geoguesst\-0.2369726_37.0145992_Index__Index_6.png,1
D:/GeoGuessrGuessr/geoguesst\-0.2369726_37.0145992_Index__Index_7.png,1
D:/GeoGuessrGuessr/geoguesst\-0.2782612_101.5022322_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.2782612_101.5022322_Index__Index_2.png,6
D:/GeoGuessrGuessr/geoguesst\-0.2782612_101.5022322_Index__Index_3.png,4
D:/GeoGuessrGuessr/geoguesst\-0.2782612_101.5022322_Index__Index_4.png,4
D:/GeoGuessrGuessr/geoguesst\-0.2782612_101.5022322_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.2782612_101.5022322_Index__Index_6.png,4
D:/GeoGuessrGuessr/geoguesst\-0.2782612_101.5022322_Index__Index_7.png,4
D:/GeoGuessrGuessr/geoguesst\-0.2782612_101.5022322_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3012415_35.8195268_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3012415_35.8195268_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3012415_35.8195268_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3012415_35.8195268_Index__Index_4.png,8
D:/GeoGuessrGuessr/geoguesst\-0.3012415_35.8195268_Index__Index_5.png,8
D:/GeoGuessrGuessr/geoguesst\-0.3012415_35.8195268_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3012415_35.8195268_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3012415_35.8195268_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3111267_35.3885132_Index__Index_2.png,1
D:/GeoGuessrGuessr/geoguesst\-0.3111267_35.3885132_Index__Index_3.png,1
D:/GeoGuessrGuessr/geoguesst\-0.3111267_35.3885132_Index__Index_4.png,1
D:/GeoGuessrGuessr/geoguesst\-0.3111267_35.3885132_Index__Index_5.png,2
D:/GeoGuessrGuessr/geoguesst\-0.3111267_35.3885132_Index__Index_6.png,1
D:/GeoGuessrGuessr/geoguesst\-0.3111267_35.3885132_Index__Index_7.png,1
D:/GeoGuessrGuessr/geoguesst\-0.3152771_36.1589485_Index__Index_1.png,5
D:/GeoGuessrGuessr/geoguesst\-0.3152771_36.1589485_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3152771_36.1589485_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3152771_36.1589485_Index__Index_4.png,6
D:/GeoGuessrGuessr/geoguesst\-0.3152771_36.1589485_Index__Index_5.png,5
D:/GeoGuessrGuessr/geoguesst\-0.3152771_36.1589485_Index__Index_6.png,5
D:/GeoGuessrGuessr/geoguesst\-0.3152771_36.1589485_Index__Index_7.png,5
D:/GeoGuessrGuessr/geoguesst\-0.3152771_36.1589485_Index__Index_8.png,5
D:/GeoGuessrGuessr/geoguesst\-0.3412137_-79.2740491_Index__Index_2.png,2
D:/GeoGuessrGuessr/geoguesst\-0.3412137_-79.2740491_Index__Index_3.png,2
D:/GeoGuessrGuessr/geoguesst\-0.3412137_-79.2740491_Index__Index_4.png,8
D:/GeoGuessrGuessr/geoguesst\-0.3412137_-79.2740491_Index__Index_5.png,8
D:/GeoGuessrGuessr/geoguesst\-0.3412137_-79.2740491_Index__Index_6.png,9
D:/GeoGuessrGuessr/geoguesst\-0.3412137_-79.2740491_Index__Index_7.png,8
D:/GeoGuessrGuessr/geoguesst\-0.3441317_36.8447831_Index__Index_2.png,9
D:/GeoGuessrGuessr/geoguesst\-0.3441317_36.8447831_Index__Index_3.png,9
D:/GeoGuessrGuessr/geoguesst\-0.3441317_36.8447831_Index__Index_4.png,9
D:/GeoGuessrGuessr/geoguesst\-0.3441317_36.8447831_Index__Index_5.png,9
D:/GeoGuessrGuessr/geoguesst\-0.3441317_36.8447831_Index__Index_6.png,9
D:/GeoGuessrGuessr/geoguesst\-0.3441317_36.8447831_Index__Index_7.png,9
D:/GeoGuessrGuessr/geoguesst\-0.3636635_35.689095_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3636635_35.689095_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3636635_35.689095_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3636635_35.689095_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3636635_35.689095_Index__Index_5.png,1
D:/GeoGuessrGuessr/geoguesst\-0.3636635_35.689095_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3636635_35.689095_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.3636635_35.689095_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4073655_111.957932_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4073655_111.957932_Index__Index_2.png,4
D:/GeoGuessrGuessr/geoguesst\-0.4073655_111.957932_Index__Index_3.png,4
D:/GeoGuessrGuessr/geoguesst\-0.4073655_111.957932_Index__Index_4.png,4
D:/GeoGuessrGuessr/geoguesst\-0.4073655_111.957932_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4073655_111.957932_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4073655_111.957932_Index__Index_7.png,4
D:/GeoGuessrGuessr/geoguesst\-0.4073655_111.957932_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4171133_35.1053309_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4171133_35.1053309_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4171133_35.1053309_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4171133_35.1053309_Index__Index_4.png,6
D:/GeoGuessrGuessr/geoguesst\-0.4171133_35.1053309_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4171133_35.1053309_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4171133_35.1053309_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4171133_35.1053309_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4277534_36.4822765_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4277534_36.4822765_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4277534_36.4822765_Index__Index_3.png,7
D:/GeoGuessrGuessr/geoguesst\-0.4277534_36.4822765_Index__Index_4.png,7
D:/GeoGuessrGuessr/geoguesst\-0.4277534_36.4822765_Index__Index_5.png,1
D:/GeoGuessrGuessr/geoguesst\-0.4277534_36.4822765_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4277534_36.4822765_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4277534_36.4822765_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4323976_39.6380773_Index__Index_1.png,6
D:/GeoGuessrGuessr/geoguesst\-0.4323976_39.6380773_Index__Index_2.png,8
D:/GeoGuessrGuessr/geoguesst\-0.4323976_39.6380773_Index__Index_3.png,9
D:/GeoGuessrGuessr/geoguesst\-0.4323976_39.6380773_Index__Index_4.png,8
D:/GeoGuessrGuessr/geoguesst\-0.4323976_39.6380773_Index__Index_5.png,6
D:/GeoGuessrGuessr/geoguesst\-0.4323976_39.6380773_Index__Index_6.png,6
D:/GeoGuessrGuessr/geoguesst\-0.4323976_39.6380773_Index__Index_7.png,6
D:/GeoGuessrGuessr/geoguesst\-0.4323976_39.6380773_Index__Index_8.png,6
D:/GeoGuessrGuessr/geoguesst\-0.4819016_-79.5703007_Index__Index_2.png,7
D:/GeoGuessrGuessr/geoguesst\-0.4819016_-79.5703007_Index__Index_3.png,7
D:/GeoGuessrGuessr/geoguesst\-0.4819016_-79.5703007_Index__Index_4.png,7
D:/GeoGuessrGuessr/geoguesst\-0.4819016_-79.5703007_Index__Index_5.png,7
D:/GeoGuessrGuessr/geoguesst\-0.4819016_-79.5703007_Index__Index_6.png,4
D:/GeoGuessrGuessr/geoguesst\-0.4819016_-79.5703007_Index__Index_7.png,7
D:/GeoGuessrGuessr/geoguesst\-0.4903689_36.4010525_Index__Index_1.png,5
D:/GeoGuessrGuessr/geoguesst\-0.4903689_36.4010525_Index__Index_2.png,5
D:/GeoGuessrGuessr/geoguesst\-0.4903689_36.4010525_Index__Index_3.png,5
D:/GeoGuessrGuessr/geoguesst\-0.4903689_36.4010525_Index__Index_4.png,5
D:/GeoGuessrGuessr/geoguesst\-0.4903689_36.4010525_Index__Index_5.png,5
D:/GeoGuessrGuessr/geoguesst\-0.4903689_36.4010525_Index__Index_6.png,5
D:/GeoGuessrGuessr/geoguesst\-0.4903689_36.4010525_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.4903689_36.4010525_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.492356_-77.1377555_Index__Index_2.png,1
D:/GeoGuessrGuessr/geoguesst\-0.492356_-77.1377555_Index__Index_3.png,2
D:/GeoGuessrGuessr/geoguesst\-0.492356_-77.1377555_Index__Index_4.png,8
D:/GeoGuessrGuessr/geoguesst\-0.492356_-77.1377555_Index__Index_5.png,1
D:/GeoGuessrGuessr/geoguesst\-0.492356_-77.1377555_Index__Index_6.png,1
D:/GeoGuessrGuessr/geoguesst\-0.492356_-77.1377555_Index__Index_7.png,1
D:/GeoGuessrGuessr/geoguesst\-0.493338_36.3441065_Index__Index_2.png,9
D:/GeoGuessrGuessr/geoguesst\-0.493338_36.3441065_Index__Index_3.png,9
D:/GeoGuessrGuessr/geoguesst\-0.493338_36.3441065_Index__Index_4.png,1
D:/GeoGuessrGuessr/geoguesst\-0.493338_36.3441065_Index__Index_5.png,2
D:/GeoGuessrGuessr/geoguesst\-0.493338_36.3441065_Index__Index_6.png,8
D:/GeoGuessrGuessr/geoguesst\-0.493338_36.3441065_Index__Index_7.png,1
D:/GeoGuessrGuessr/geoguesst\-0.49402_-80.035658_Index__Index_2.png,8
D:/GeoGuessrGuessr/geoguesst\-0.49402_-80.035658_Index__Index_3.png,2
D:/GeoGuessrGuessr/geoguesst\-0.49402_-80.035658_Index__Index_4.png,8
D:/GeoGuessrGuessr/geoguesst\-0.49402_-80.035658_Index__Index_5.png,1
D:/GeoGuessrGuessr/geoguesst\-0.49402_-80.035658_Index__Index_6.png,7
D:/GeoGuessrGuessr/geoguesst\-0.49402_-80.035658_Index__Index_7.png,8
D:/GeoGuessrGuessr/geoguesst\-0.517387_34.6968412_Index__Index_1.png,6
D:/GeoGuessrGuessr/geoguesst\-0.517387_34.6968412_Index__Index_2.png,6
D:/GeoGuessrGuessr/geoguesst\-0.517387_34.6968412_Index__Index_3.png,6
D:/GeoGuessrGuessr/geoguesst\-0.517387_34.6968412_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.517387_34.6968412_Index__Index_5.png,6
D:/GeoGuessrGuessr/geoguesst\-0.517387_34.6968412_Index__Index_6.png,6
D:/GeoGuessrGuessr/geoguesst\-0.517387_34.6968412_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.517387_34.6968412_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5553639144514619_34.20849312589263_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5553639144514619_34.20849312589263_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5553639144514619_34.20849312589263_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5553639144514619_34.20849312589263_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5553639144514619_34.20849312589263_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5553639144514619_34.20849312589263_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5553639144514619_34.20849312589263_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5553639144514619_34.20849312589263_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5571517_37.363755_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5571517_37.363755_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5571517_37.363755_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5571517_37.363755_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5571517_37.363755_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5571517_37.363755_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5571517_37.363755_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5571517_37.363755_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5734869_34.9679509_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5734869_34.9679509_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5734869_34.9679509_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5734869_34.9679509_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5734869_34.9679509_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5734869_34.9679509_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5734869_34.9679509_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5734869_34.9679509_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5747636_37.6388088_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5747636_37.6388088_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5747636_37.6388088_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5747636_37.6388088_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5747636_37.6388088_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5747636_37.6388088_Index__Index_6.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5747636_37.6388088_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5747636_37.6388088_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5985643_37.608481_Index__Index_1.png,5
D:/GeoGuessrGuessr/geoguesst\-0.5985643_37.608481_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5985643_37.608481_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5985643_37.608481_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.5985643_37.608481_Index__Index_5.png,5
D:/GeoGuessrGuessr/geoguesst\-0.5985643_37.608481_Index__Index_6.png,5
D:/GeoGuessrGuessr/geoguesst\-0.5985643_37.608481_Index__Index_7.png,5
D:/GeoGuessrGuessr/geoguesst\-0.5985643_37.608481_Index__Index_8.png,5
D:/GeoGuessrGuessr/geoguesst\-0.6663604_35.3142033_Index__Index_1.png,3
D:/GeoGuessrGuessr/geoguesst\-0.6663604_35.3142033_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.6663604_35.3142033_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.6663604_35.3142033_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.6663604_35.3142033_Index__Index_5.png,5
D:/GeoGuessrGuessr/geoguesst\-0.6663604_35.3142033_Index__Index_6.png,5
D:/GeoGuessrGuessr/geoguesst\-0.6663604_35.3142033_Index__Index_7.png,3
D:/GeoGuessrGuessr/geoguesst\-0.6663604_35.3142033_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.6859658_30.8862669_Index__Index_2.png,7
D:/GeoGuessrGuessr/geoguesst\-0.6859658_30.8862669_Index__Index_3.png,7
D:/GeoGuessrGuessr/geoguesst\-0.6859658_30.8862669_Index__Index_4.png,9
D:/GeoGuessrGuessr/geoguesst\-0.6859658_30.8862669_Index__Index_5.png,9
D:/GeoGuessrGuessr/geoguesst\-0.6859658_30.8862669_Index__Index_6.png,9
D:/GeoGuessrGuessr/geoguesst\-0.6859658_30.8862669_Index__Index_7.png,9
D:/GeoGuessrGuessr/geoguesst\-0.703576_-80.14442_Index__Index_2.png,8
D:/GeoGuessrGuessr/geoguesst\-0.703576_-80.14442_Index__Index_3.png,8
D:/GeoGuessrGuessr/geoguesst\-0.703576_-80.14442_Index__Index_4.png,8
D:/GeoGuessrGuessr/geoguesst\-0.703576_-80.14442_Index__Index_5.png,8
D:/GeoGuessrGuessr/geoguesst\-0.703576_-80.14442_Index__Index_6.png,8
D:/GeoGuessrGuessr/geoguesst\-0.703576_-80.14442_Index__Index_7.png,8
D:/GeoGuessrGuessr/geoguesst\-0.7099816_34.6991872_Index__Index_1.png,5
D:/GeoGuessrGuessr/geoguesst\-0.7099816_34.6991872_Index__Index_2.png,3
D:/GeoGuessrGuessr/geoguesst\-0.7099816_34.6991872_Index__Index_3.png,4
D:/GeoGuessrGuessr/geoguesst\-0.7099816_34.6991872_Index__Index_4.png,4
D:/GeoGuessrGuessr/geoguesst\-0.7099816_34.6991872_Index__Index_5.png,7
D:/GeoGuessrGuessr/geoguesst\-0.7099816_34.6991872_Index__Index_6.png,7
D:/GeoGuessrGuessr/geoguesst\-0.7099816_34.6991872_Index__Index_7.png,4
D:/GeoGuessrGuessr/geoguesst\-0.7099816_34.6991872_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.7204099_102.247273_Index__Index_2.png,9
D:/GeoGuessrGuessr/geoguesst\-0.7204099_102.247273_Index__Index_3.png,7
D:/GeoGuessrGuessr/geoguesst\-0.7204099_102.247273_Index__Index_4.png,9
D:/GeoGuessrGuessr/geoguesst\-0.7204099_102.247273_Index__Index_5.png,8
D:/GeoGuessrGuessr/geoguesst\-0.7204099_102.247273_Index__Index_6.png,7
D:/GeoGuessrGuessr/geoguesst\-0.7204099_102.247273_Index__Index_7.png,9
D:/GeoGuessrGuessr/geoguesst\-0.758185_-79.464289_Index__Index_2.png,1
D:/GeoGuessrGuessr/geoguesst\-0.758185_-79.464289_Index__Index_3.png,1
D:/GeoGuessrGuessr/geoguesst\-0.758185_-79.464289_Index__Index_4.png,8
D:/GeoGuessrGuessr/geoguesst\-0.758185_-79.464289_Index__Index_5.png,9
D:/GeoGuessrGuessr/geoguesst\-0.758185_-79.464289_Index__Index_6.png,9
D:/GeoGuessrGuessr/geoguesst\-0.758185_-79.464289_Index__Index_7.png,1
D:/GeoGuessrGuessr/geoguesst\-0.7676898_37.6560067_Index__Index_2.png,1
D:/GeoGuessrGuessr/geoguesst\-0.7676898_37.6560067_Index__Index_3.png,1
D:/GeoGuessrGuessr/geoguesst\-0.7676898_37.6560067_Index__Index_4.png,1
D:/GeoGuessrGuessr/geoguesst\-0.7676898_37.6560067_Index__Index_5.png,1
D:/GeoGuessrGuessr/geoguesst\-0.7676898_37.6560067_Index__Index_6.png,9
D:/GeoGuessrGuessr/geoguesst\-0.7676898_37.6560067_Index__Index_7.png,1
D:/GeoGuessrGuessr/geoguesst\-0.7691701_38.3939982_Index__Index_1.png,3
